Date,Open,High,Low,Close,Volume,
20/01/2017,1204.8,1214.8,1198.2,1204.9,236066,
19/01/2017,1203.1,1206.4,1195.4,1201.5,241530,
18/01/2017,1216.8,1217.7,1201.8,1212.1,195234,
17/01/2017,1202.8,1218.9,1198,1212.9,368672,
13/01/2017,1194.8,1204.3,1187.5,1196.2,28224,
12/01/2017,1191.1,1207.2,1190.7,1199.8,260107,
11/01/2017,1188.1,1198.5,1177,1196.6,317695,
10/01/2017,1181.3,1190.6,1180.2,1185.5,215898,
09/01/2017,1172.9,1186.4,1172.2,1184.9,174989,
06/01/2017,1181,1183.8,1171.1,1173.4,217714,
05/01/2017,1164.6,1185.9,1163.6,1181.3,262224,
04/01/2017,1159.6,1168.6,1156.7,1165.3,172108,
03/01/2017,1151.4,1166,1146.5,1162,216537,
30/12/2016,1159.5,1164.3,1150.3,1151.7,138673,
29/12/2016,1143.1,1160.6,1142.6,1158.1,152323,
28/12/2016,1139.3,1145.1,1137.1,1140.9,100121,
27/12/2016,1135.3,1151.7,1132.8,1138.8,102366,
23/12/2016,1130,1137.3,1129.5,1133.6,70834,
22/12/2016,1130,1137.3,1129.5,1133.6,70834,
21/12/2016,1134,1138.8,1131,1133.2,109673,
20/12/2016,1139.8,1141.7,1127.3,1133.6,138058,
19/12/2016,1136.1,1144.4,1135.5,1142.7,112536,
16/12/2016,1130.5,1143.2,1128.5,1137.4,171285,
15/12/2016,1143.8,1146,1124.3,1129.8,262877,
14/12/2016,1159.8,1168,1140,1163.7,205326,
13/12/2016,1164.5,1167,1156.3,1159,136029,
12/12/2016,1161.4,1167.9,1152.5,1165.8,159639,
09/12/2016,1172.5,1173.8,1157.6,1161.9,154417,
08/12/2016,1176.1,1180.7,1170.9,1172.4,142363,
07/12/2016,1171.4,1182.3,1167.2,1177.5,137900,
06/12/2016,1172.8,1177.1,1168.1,1170.1,130714,
05/12/2016,1182.6,1190.2,1158.6,1176.5,212276,
02/12/2016,1174.3,1180.3,1168.4,1177.8,169224,
01/12/2016,1175.1,1178.4,1162.2,1169.4,216169,
30/11/2016,1190.7,1196.8,1171.3,1173.9,232748,
29/11/2016,1196.6,1197.7,1182.6,1190.8,195887,
28/11/2016,1184.4,1200,1184.4,1193.8,132780,
25/11/2016,1184.4,1195.4,1172.8,1181,89941,
23/11/2016,1188.2,1192.5,1185.2,1192.4,3479,
22/11/2016,1213.5,1220.9,1205.6,1211.2,201770,
21/11/2016,1207.3,1217.8,1205.4,1209.8,162047,
18/11/2016,1216,1217.5,1201.3,1208.7,244002,
17/11/2016,1224.8,1231.1,1210.5,1216.9,224953,
16/11/2016,1228,1233.1,1221,1223.9,190158,
15/11/2016,1221.8,1231.4,1218.6,1224.5,224970,
14/11/2016,1227.7,1230.9,1211,1221.7,332635,
11/11/2016,1258.7,1265,1218.7,1224.3,420069,
10/11/2016,1278.4,1292.5,1251.9,1266.4,392797,
09/11/2016,1276.8,1338.3,1268.1,1273.5,783657,
08/11/2016,1282.2,1291.5,1273.3,1274.5,194922,
07/11/2016,1294.5,1296.5,1278.6,1279.4,209668,
04/11/2016,1303.2,1308.3,1295.7,1304.5,202966,
03/11/2016,1298.1,1308,1286.2,1303.3,220164,
02/11/2016,1289,1309.3,1288.4,1308.2,224005,
01/11/2016,1277.8,1292.9,1276.3,1288,194976,
31/10/2016,1278.3,1280.5,1271.9,1273.1,115445,
28/10/2016,1269.2,1285.4,1262,1276.8,222489,
27/10/2016,1267.2,1273.7,1265.2,1269.5,123344,
26/10/2016,1274,1277.2,1265.1,1266.6,132796,
25/10/2016,1265.2,1277.5,1262.4,1273.6,132241,
24/10/2016,1266.9,1272.8,1260.1,1263.7,148823,
21/10/2016,1266.5,1268.8,1261.7,1267.7,97891,
20/10/2016,1270.6,1275.9,1265.5,1267.5,130976,
19/10/2016,1263.9,1274.4,1261.1,1269.9,135414,
18/10/2016,1256,1265.6,1255.9,1262.9,141366,
