Date,Open,High,Low,Close,Volume,Open Interest
2017/08/24 00:00:00,1296,1296.8,1289.3,1292,237998,0
2017/08/23 00:00:00,1290.4,1297,1287.9,1294.7,226744,0
2017/08/22 00:00:00,1297.1,1298.1,1287,1291,259806,0
2017/08/21 00:00:00,1289.1,1299.7,1286.2,1296.7,254319,0
2017/08/18 00:00:00,1293.8,1306.9,1289.1,1291.6,379352,0
2017/08/17 00:00:00,1290,1296,1286.4,1292.4,316050,0
2017/08/16 00:00:00,1276.9,1289.5,1273.2,1282.9,268454,0
2017/08/15 00:00:00,1287,1287.7,1272.7,1279.7,278698,0
2017/08/14 00:00:00,1296.4,1296.4,1284.2,1290.4,233106,0
2017/08/11 00:00:00,1292.5,1298.1,1286.7,1294,259307,0
2017/08/10 00:00:00,1283.2,1293.8,1280.3,1290.1,257651,0
2017/08/09 00:00:00,1266.1,1284.7,1265.9,1279.3,280929,0
2017/08/08 00:00:00,1262.9,1271,1257.1,1262.6,240864,0
2017/08/07 00:00:00,1264.3,1265.6,1261.3,1264.7,120039,0
2017/08/04 00:00:00,1275.3,1276.5,1259.8,1264.6,260834,0
2017/08/03 00:00:00,1272.6,1277,1262.9,1274.4,198615,0
2017/08/02 00:00:00,1275.2,1279,1268.9,1278.4,204629,0
2017/08/01 00:00:00,1275.6,1280.3,1268.4,1279.4,206396,0
2017/07/31 00:00:00,1276.3,1277.3,1271.7,1273.4,158464,0
2017/07/28 00:00:00,1265,1277,1263.2,1275.3,241286,0
2017/07/27 00:00:00,1266.8,1271.3,1260.3,1266.5,154412,0
2017/07/26 00:00:00,1256.2,1269.8,1249.4,1255.6,92181,0
2017/07/25 00:00:00,1261.9,1264.2,1255.1,1258.5,61360,0
2017/07/24 00:00:00,1261.4,1265.1,1258.1,1260.7,61616,0
2017/07/21 00:00:00,1250.8,1262.1,1249.5,1261,51035,0
2017/07/20 00:00:00,1240.6,1247.2,1234.6,1245.5,263291,0
2017/07/19 00:00:00,1242,1243.5,1235.1,1242,189980,0
2017/07/18 00:00:00,1233.3,1244.1,1232.2,1241.9,245241,0
2017/07/17 00:00:00,1228.7,1235.4,1227.5,1233.7,166096,0
2017/07/14 00:00:00,1216.4,1232.7,1214,1227.5,258301,0
2017/07/13 00:00:00,1219.2,1223.6,1215.6,1217.3,219900,0
2017/07/12 00:00:00,1216.5,1225.2,1212.5,1219.1,254172,0
2017/07/11 00:00:00,1213.8,1217.1,1207.4,1214.7,213121,0
2017/07/10 00:00:00,1212.1,1215,1204,1213.2,233437,0
2017/07/07 00:00:00,1224.6,1228.1,1206.6,1209.7,310483,0
2017/07/06 00:00:00,1226.5,1229.5,1221.8,1223.3,185809,0
2017/07/05 00:00:00,1223,1228.4,1216.5,1221.7,348799,0
2017/07/03 00:00:00,1220.1,1224.6,1220,1219.2,26906,0
2017/06/30 00:00:00,1245.2,1248.2,1239,1242.3,210097,0
2017/06/29 00:00:00,1249.6,1253.2,1239.7,1245.8,260590,0
2017/06/28 00:00:00,1247.3,1255.7,1246.7,1249.1,188119,0
2017/06/27 00:00:00,1245.2,1253.8,1241.8,1246.9,204721,0
2017/06/26 00:00:00,1258.1,1259,1236.5,1246.4,219105,0
2017/06/23 00:00:00,1250.9,1260,1250.6,1256.4,153529,0
2017/06/22 00:00:00,1246.4,1256,1246.4,1249.4,182170,0
2017/06/21 00:00:00,1243.9,1248.8,1241.7,1245.8,160236,0
2017/06/20 00:00:00,1245.4,1249.4,1242.4,1243.5,172002,0
2017/06/19 00:00:00,1255.8,1257.3,1244.3,1246.7,174183,0
2017/06/16 00:00:00,1255.6,1258.6,1253.2,1256.5,145249,0
2017/06/15 00:00:00,1262.7,1268.5,1252.7,1254.6,238470,0
2017/06/14 00:00:00,1268.4,1284.2,1259,1275.9,337298,0
2017/06/13 00:00:00,1267.7,1271,1260.5,1268.6,171164,0
2017/06/12 00:00:00,1269.7,1272.4,1265.6,1268.9,168475,0
2017/06/09 00:00:00,1283.5,1284.6,1266.7,1271.4,212190,0
2017/06/08 00:00:00,1289.5,1291.5,1273.5,1279.5,247460,0
2017/06/07 00:00:00,1297,1297.6,1285,1293.2,212480,0
2017/06/06 00:00:00,1282.5,1298.8,1282.1,1297.5,243052,0
2017/06/05 00:00:00,1282.6,1286,1280.2,1282.7,134854,0
2017/06/02 00:00:00,1268,1282.2,1261.3,1280.2,257594,0
2017/06/01 00:00:00,1271.6,1272.8,1263.7,1270.1,174611,0
2017/05/31 00:00:00,1265.7,1276.8,1262,1275.4,193527,0
2017/05/30 00:00:00,1270.1,1273.4,1261.8,1265.7,275724,0
2017/05/26 00:00:00,1258.6,1272.7,1269.4,1271.4,14102,0
2017/05/25 00:00:00,1261.6,1262.8,1256.9,1259.8,62975,0
2017/05/24 00:00:00,1251.1,1258.8,1247.6,1253.1,234075,0
2017/05/23 00:00:00,1260.4,1263.8,1250.5,1255.5,269982,0
2017/05/22 00:00:00,1257.5,1262.6,1251.6,1261.4,201829,0
2017/05/19 00:00:00,1246.8,1256.4,1246.1,1253.6,210569,0
2017/05/18 00:00:00,1261.4,1265,1245.7,1252.8,361421,0
2017/05/17 00:00:00,1237.2,1261.5,1236.3,1258.7,365967,0
2017/05/16 00:00:00,1230.8,1239.1,1230,1236.4,197131,0
2017/05/15 00:00:00,1228.3,1237.4,1226.8,1230,182239,0
2017/05/12 00:00:00,1225,1231.6,1224.4,1227.7,189500,0
2017/05/11 00:00:00,1219.2,1227.7,1216.9,1224.2,230075,0
2017/05/10 00:00:00,1222.1,1225.8,1217.5,1218.9,185804,0
2017/05/09 00:00:00,1226.6,1228.7,1214.3,1216.1,240063,0
2017/05/08 00:00:00,1223.1,1236.9,1221,1227.1,188318,0
2017/05/05 00:00:00,1228.5,1236,1226.2,1226.9,257019,0
2017/05/04 00:00:00,1238.5,1241.7,1225.7,1228.6,305881,0
2017/05/03 00:00:00,1257.8,1257.8,1236.4,1248.5,245496,0
2017/05/02 00:00:00,1257.4,1258.8,1252.6,1257,171411,0
2017/05/01 00:00:00,1269.6,1272.4,1254.9,1255.5,197023,0
2017/04/28 00:00:00,1265.2,1269.9,1264.2,1268.3,166210,0
2017/04/27 00:00:00,1270.2,1271.1,1261.8,1265.9,203162,0
2017/04/26 00:00:00,1265.5,1272.8,1260.7,1264.2,233964,0
2017/04/25 00:00:00,1277.9,1279.9,1262.8,1267.2,242791,0
2017/04/24 00:00:00,1280,1280,1266,1277.5,287252,0
2017/04/21 00:00:00,1283.3,1290.1,1280,1289.1,220990,0
2017/04/20 00:00:00,1282.2,1285.2,1278,1283.8,237678,0
2017/04/19 00:00:00,1291.7,1292.7,1275.4,1283.4,251024,0
2017/04/18 00:00:00,1286.7,1294.4,1280.6,1294.1,272618,0
2017/04/17 00:00:00,1292.4,1297.4,1283.1,1291.9,189444,0
2017/04/13 00:00:00,1288.3,1290.7,1283.8,1288.5,229082,0
2017/04/12 00:00:00,1277.2,1289,1273.8,1278.1,241437,0
2017/04/11 00:00:00,1256.8,1277.4,1254.7,1274.2,279421,0
2017/04/10 00:00:00,1255.6,1258.9,1248.2,1253.9,176084,0
2017/04/07 00:00:00,1253.9,1273.3,1252.4,1257.3,365404,0
